x,y,z,T,solid
0.066455041,0.071899325,0.0,307.0964,1.0
0.066455041,0.072323431,0.0,307.09642,1.0
0.066455041,0.072747538,0.0,307.09646,1.0
0.066455041,0.073171645,0.0,307.09649,1.0
0.066455041,0.073595751,0.0,307.09653,1.0
0.066880634,0.070202898,0.0,307.09637,1.0
0.066880634,0.070627005,0.0,307.09638,1.0
0.066880634,0.071051112,0.0,307.09639,1.0
0.066880634,0.071475218,0.0,307.0964,1.0
0.066880634,0.071899325,0.0,307.09643,1.0
0.066880634,0.072323431,0.0,307.09645,1.0
0.066880634,0.072747538,0.0,307.09648,1.0
0.066880634,0.073171645,0.0,307.09652,1.0
0.066880634,0.073595751,0.0,307.09656,1.0
0.067306228,0.070202898,0.0,307.0964,1.0
0.067306228,0.070627005,0.0,307.09641,1.0
0.067306228,0.071051112,0.0,307.09642,1.0
0.067306228,0.071475218,0.0,307.09643,1.0
0.067306228,0.071899325,0.0,307.09645,1.0
0.067306228,0.072323431,0.0,307.09648,1.0
0.067306228,0.072747538,0.0,307.09651,1.0
0.067731822,0.070202898,0.0,307.09643,1.0
0.067731822,0.070627005,0.0,307.09643,1.0
0.067731822,0.071051112,0.0,307.09644,1.0
0.067731822,0.071475218,0.0,307.09646,1.0
0.067731822,0.071899325,0.0,307.09648,1.0
0.067731822,0.072323431,0.0,307.09651,1.0
0.068157416,0.070202898,0.0,307.09646,1.0
0.068157416,0.070627005,0.0,307.09646,1.0
0.068157416,0.071051112,0.0,307.09647,1.0
0.068157416,0.071475218,0.0,307.09649,1.0
0.068157416,0.071899325,0.0,307.09651,1.0
0.066455041,0.074019858,0.0,307.09658,1.0
0.066455041,0.074443965,0.0,307.09662,1.0
0.066880634,0.074019858,0.0,307.0966,1.0
0.066880634,0.074443965,0.0,307.09665,1.0
0.066880634,0.074868071,0.0,307.0967,1.0
0.066880634,0.075292178,0.0,307.09676,1.0
0.066880634,0.075716284,0.0,307.09682,1.0
0.066880634,0.076140391,0.0,307.09688,1.0
0.066880634,0.076564498,0.0,307.09694,1.0
0.066880634,0.076988604,0.0,307.09701,1.0
0.066880634,0.077412711,0.0,307.09707,1.0
0.066880634,0.077836818,0.0,307.09714,1.0
0.067306228,0.073171645,0.0,307.09655,1.0
0.067306228,0.073595751,0.0,307.09659,1.0
0.067306228,0.074019858,0.0,307.09663,1.0
0.067306228,0.074443965,0.0,307.09668,1.0
0.067306228,0.074868071,0.0,307.09673,1.0
0.067306228,0.075292178,0.0,307.09679,1.0
0.067306228,0.075716284,0.0,307.09684,1.0
0.067306228,0.076140391,0.0,307.09691,1.0
0.067306228,0.076564498,0.0,307.09697,1.0
0.067306228,0.076988604,0.0,307.09703,1.0
0.067306228,0.077412711,0.0,307.0971,1.0
0.067306228,0.077836818,0.0,307.09717,1.0
0.067731822,0.072747538,0.0,307.09654,1.0
0.067731822,0.073171645,0.0,307.09657,1.0
0.067731822,0.073595751,0.0,307.09661,1.0
0.067731822,0.074019858,0.0,307.09666,1.0
0.067731822,0.074443965,0.0,307.09671,1.0
